"Year","Birth order","Age class of mother","Age class of father","Live births"
"2003","First child","45-49 years","Unknown",0
"2003","First child","50 years or more","Less than 20 years",0
"2003","First child","50 years or more","20-24 years",0
"2003","First child","50 years or more","25-29 years",0
"2003","First child","50 years or more","30-34 years",0
"2003","First child","50 years or more","35-39 years",0
"2003","First child","50 years or more","40-44 years",0
"2003","First child","50 years or more","45-49 years",0
"2003","First child","50 years or more","50-59 years",0
"2003","First child","50 years or more","60-69 years",1
"2003","First child","50 years or more","70 years or more",0
"2003","First child","50 years or more","Unknown",0
"2003","Second child","Less than 20 years","Less than 20 years",0
"2003","Second child","Less than 20 years","20-24 years",12
"2003","Second child","Less than 20 years","25-29 years",8
"2003","Second child","Less than 20 years","30-34 years",1
"2003","Second child","Less than 20 years","35-39 years",0
"2003","Second child","Less than 20 years","40-44 years",1
"2003","Second child","Less than 20 years","45-49 years",0
"2003","Second child","Less than 20 years","50-59 years",0
"2003","Second child","Less than 20 years","60-69 years",0
"2003","Second child","Less than 20 years","70 years or more",0
"2003","Second child","Less than 20 years","Unknown",0
"2003","Second child","20-24 years","Less than 20 years",1
"2003","Second child","20-24 years","20-24 years",256
"2003","Second child","20-24 years","25-29 years",743
"2003","Second child","20-24 years","30-34 years",294
"2003","Second child","20-24 years","35-39 years",94
"2003","Second child","20-24 years","40-44 years",30
"2003","Second child","20-24 years","45-49 years",8
"2003","Second child","20-24 years","50-59 years",4
"2003","Second child","20-24 years","60-69 years",0
"2003","Second child","20-24 years","70 years or more",0
"2003","Second child","20-24 years","Unknown",0
"2003","Second child","25-29 years","Less than 20 years",0
"2003","Second child","25-29 years","20-24 years",87
"2003","Second child","25-29 years","25-29 years",1914
"2003","Second child","25-29 years","30-34 years",2671
"2003","Second child","25-29 years","35-39 years",988
"2003","Second child","25-29 years","40-44 years",224
"2003","Second child","25-29 years","45-49 years",56
"2003","Second child","25-29 years","50-59 years",25
"2003","Second child","25-29 years","60-69 years",3
"2003","Second child","25-29 years","70 years or more",0
"2003","Second child","25-29 years","Unknown",0
"2003","Second child","30-34 years","Less than 20 years",0
"2003","Second child","30-34 years","20-24 years",14
"2003","Second child","30-34 years","25-29 years",472
"2003","Second child","30-34 years","30-34 years",4672
"2003","Second child","30-34 years","35-39 years",3751
"2003","Second child","30-34 years","40-44 years",840
"2003","Second child","30-34 years","45-49 years",184
"2003","Second child","30-34 years","50-59 years",68
"2003","Second child","30-34 years","60-69 years",4
"2003","Second child","30-34 years","70 years or more",0
"2003","Second child","30-34 years","Unknown",0
"2003","Second child","35-39 years","Less than 20 years",0
"2003","Second child","35-39 years","20-24 years",3
"2003","Second child","35-39 years","25-29 years",87
"2003","Second child","35-39 years","30-34 years",970
"2003","Second child","35-39 years","35-39 years",2736
"2003","Second child","35-39 years","40-44 years",1242
"2003","Second child","35-39 years","45-49 years",268
"2003","Second child","35-39 years","50-59 years",105
"2003","Second child","35-39 years","60-69 years",5
"2003","Second child","35-39 years","70 years or more",2
"2003","Second child","35-39 years","Unknown",0
"2003","Second child","40-44 years","Less than 20 years",0
"2003","Second child","40-44 years","20-24 years",1
"2003","Second child","40-44 years","25-29 years",6
"2003","Second child","40-44 years","30-34 years",56
"2003","Second child","40-44 years","35-39 years",230
"2003","Second child","40-44 years","40-44 years",329
"2003","Second child","40-44 years","45-49 years",125
"2003","Second child","40-44 years","50-59 years",41
"2003","Second child","40-44 years","60-69 years",3
"2003","Second child","40-44 years","70 years or more",0
"2003","Second child","40-44 years","Unknown",0
"2003","Second child","45-49 years","Less than 20 years",0
"2003","Second child","45-49 years","20-24 years",0
"2003","Second child","45-49 years","25-29 years",0
"2003","Second child","45-49 years","30-34 years",3
"2003","Second child","45-49 years","35-39 years",4
"2003","Second child","45-49 years","40-44 years",7
"2003","Second child","45-49 years","45-49 years",7
"2003","Second child","45-49 years","50-59 years",8
"2003","Second child","45-49 years","60-69 years",0
"2003","Second child","45-49 years","70 years or more",0
"2003","Second child","45-49 years","Unknown",0
"2003","Second child","50 years or more","Less than 20 years",0
"2003","Second child","50 years or more","20-24 years",0
"2003","Second child","50 years or more","25-29 years",0
"2003","Second child","50 years or more","30-34 years",0
"2003","Second child","50 years or more","35-39 years",0
"2003","Second child","50 years or more","40-44 years",0
"2003","Second child","50 years or more","45-49 years",1
"2003","Second child","50 years or more","50-59 years",1
"2003","Second child","50 years or more","60-69 years",1
"2003","Second child","50 years or more","70 years or more",0
"2003","Second child","50 years or more","Unknown",0
"2003","Third child","Less than 20 years","Less than 20 years",0
"2003","Third child","Less than 20 years","20-24 years",0
"2003","Third child","Less than 20 years","25-29 years",1
"2003","Third child","Less than 20 years","30-34 years",0
"2003","Third child","Less than 20 years","35-39 years",0
"2003","Third child","Less than 20 years","40-44 years",0
"2003","Third child","Less than 20 years","45-49 years",0
"2003","Third child","Less than 20 years","50-59 years",0
"2003","Third child","Less than 20 years","60-69 years",0
"2003","Third child","Less than 20 years","70 years or more",0
"2003","Third child","Less than 20 years","Unknown",0
"2003","Third child","20-24 years","Less than 20 years",1
"2003","Third child","20-24 years","20-24 years",18
"2003","Third child","20-24 years","25-29 years",88
"2003","Third child","20-24 years","30-34 years",28
"2003","Third child","20-24 years","35-39 years",18
"2003","Third child","20-24 years","40-44 years",5
"2003","Third child","20-24 years","45-49 years",0
"2003","Third child","20-24 years","50-59 years",0
"2003","Third child","20-24 years","60-69 years",0
"2003","Third child","20-24 years","70 years or more",0
"2003","Third child","20-24 years","Unknown",0
"2003","Third child","25-29 years","Less than 20 years",0
"2003","Third child","25-29 years","20-24 years",15
"2003","Third child","25-29 years","25-29 years",395
"2003","Third child","25-29 years","30-34 years",657
"2003","Third child","25-29 years","35-39 years",262
"2003","Third child","25-29 years","40-44 years",66
"2003","Third child","25-29 years","45-49 years",21
"2003","Third child","25-29 years","50-59 years",4
"2003","Third child","25-29 years","60-69 years",0
"2003","Third child","25-29 years","70 years or more",0
"2003","Third child","25-29 years","Unknown",0
"2003","Third child","30-34 years","Less than 20 years",0
"2003","Third child","30-34 years","20-24 years",2
"2003","Third child","30-34 years","25-29 years",89
"2003","Third child","30-34 years","30-34 years",1305
"2003","Third child","30-34 years","35-39 years",1491
"2003","Third child","30-34 years","40-44 years",338
"2003","Third child","30-34 years","45-49 years",67
"2003","Third child","30-34 years","50-59 years",23
"2003","Third child","30-34 years","60-69 years",2
"2003","Third child","30-34 years","70 years or more",0
"2003","Third child","30-34 years","Unknown",0
"2003","Third child","35-39 years","Less than 20 years",0
"2003","Third child","35-39 years","20-24 years",0
"2003","Third child","35-39 years","25-29 years",9
"2003","Third child","35-39 years","30-34 years",278
"2003","Third child","35-39 years","35-39 years",1239
"2003","Third child","35-39 years","40-44 years",656
"2003","Third child","35-39 years","45-49 years",122
"2003","Third child","35-39 years","50-59 years",39
"2003","Third child","35-39 years","60-69 years",3
"2003","Third child","35-39 years","70 years or more",0
"2003","Third child","35-39 years","Unknown",0
"2003","Third child","40-44 years","Less than 20 years",0
"2003","Third child","40-44 years","20-24 years",0
"2003","Third child","40-44 years","25-29 years",1
"2003","Third child","40-44 years","30-34 years",18
"2003","Third child","40-44 years","35-39 years",94
"2003","Third child","40-44 years","40-44 years",181
"2003","Third child","40-44 years","45-49 years",74
"2003","Third child","40-44 years","50-59 years",16
"2003","Third child","40-44 years","60-69 years",2
"2003","Third child","40-44 years","70 years or more",0
"2003","Third child","40-44 years","Unknown",0
"2003","Third child","45-49 years","Less than 20 years",0
"2003","Third child","45-49 years","20-24 years",0
"2003","Third child","45-49 years","25-29 years",0
"2003","Third child","45-49 years","30-34 years",1
"2003","Third child","45-49 years","35-39 years",5
"2003","Third child","45-49 years","40-44 years",4
"2003","Third child","45-49 years","45-49 years",6
"2003","Third child","45-49 years","50-59 years",3
"2003","Third child","45-49 years","60-69 years",0
"2003","Third child","45-49 years","70 years or more",0
"2003","Third child","45-49 years","Unknown",0
"2003","Third child","50 years or more","Less than 20 years",0
"2003","Third child","50 years or more","20-24 years",0
"2003","Third child","50 years or more","25-29 years",0
"2003","Third child","50 years or more","30-34 years",0
"2003","Third child","50 years or more","35-39 years",0
"2003","Third child","50 years or more","40-44 years",0
"2003","Third child","50 years or more","45-49 years",0
"2003","Third child","50 years or more","50-59 years",0
"2003","Third child","50 years or more","60-69 years",0
"2003","Third child","50 years or more","70 years or more",0
"2003","Third child","50 years or more","Unknown",0
"2003","Fourth child or more","Less than 20 years","Less than 20 years",0
"2003","Fourth child or more","Less than 20 years","20-24 years",0
"2003","Fourth child or more","Less than 20 years","25-29 years",0
"2003","Fourth child or more","Less than 20 years","30-34 years",0
"2003","Fourth child or more","Less than 20 years","35-39 years",0
"2003","Fourth child or more","Less than 20 years","40-44 years",0
"2003","Fourth child or more","Less than 20 years","45-49 years",0
"2003","Fourth child or more","Less than 20 years","50-59 years",0
"2003","Fourth child or more","Less than 20 years","60-69 years",0
"2003","Fourth child or more","Less than 20 years","70 years or more",0
"2003","Fourth child or more","Less than 20 years","Unknown",0
"2003","Fourth child or more","20-24 years","Less than 20 years",0
"2003","Fourth child or more","20-24 years","20-24 years",3
"2003","Fourth child or more","20-24 years","25-29 years",7
"2003","Fourth child or more","20-24 years","30-34 years",5
"2003","Fourth child or more","20-24 years","35-39 years",0
"2003","Fourth child or more","20-24 years","40-44 years",0
"2003","Fourth child or more","20-24 years","45-49 years",1
"2003","Fourth child or more","20-24 years","50-59 years",0
"2003","Fourth child or more","20-24 years","60-69 years",0
"2003","Fourth child or more","20-24 years","70 years or more",0
"2003","Fourth child or more","20-24 years","Unknown",0
"2003","Fourth child or more","25-29 years","Less than 20 years",0
"2003","Fourth child or more","25-29 years","20-24 years",0
"2003","Fourth child or more","25-29 years","25-29 years",66
"2003","Fourth child or more","25-29 years","30-34 years",112
"2003","Fourth child or more","25-29 years","35-39 years",52
"2003","Fourth child or more","25-29 years","40-44 years",16
"2003","Fourth child or more","25-29 years","45-49 years",3
"2003","Fourth child or more","25-29 years","50-59 years",1
"2003","Fourth child or more","25-29 years","60-69 years",0
"2003","Fourth child or more","25-29 years","70 years or more",0
"2003","Fourth child or more","25-29 years","Unknown",0
"2003","Fourth child or more","30-34 years","Less than 20 years",0
"2003","Fourth child or more","30-34 years","20-24 years",0
"2003","Fourth child or more","30-34 years","25-29 years",18
"2003","Fourth child or more","30-34 years","30-34 years",289
"2003","Fourth child or more","30-34 years","35-39 years",376
"2003","Fourth child or more","30-34 years","40-44 years",122
"2003","Fourth child or more","30-34 years","45-49 years",20
"2003","Fourth child or more","30-34 years","50-59 years",6
"2003","Fourth child or more","30-34 years","60-69 years",0
"2003","Fourth child or more","30-34 years","70 years or more",0
"2003","Fourth child or more","30-34 years","Unknown",0
"2003","Fourth child or more","35-39 years","Less than 20 years",0
"2003","Fourth child or more","35-39 years","20-24 years",0
"2003","Fourth child or more","35-39 years","25-29 years",3
"2003","Fourth child or more","35-39 years","30-34 years",56
"2003","Fourth child or more","35-39 years","35-39 years",445
"2003","Fourth child or more","35-39 years","40-44 years",318
"2003","Fourth child or more","35-39 years","45-49 years",62
"2003","Fourth child or more","35-39 years","50-59 years",17
"2003","Fourth child or more","35-39 years","60-69 years",3
"2003","Fourth child or more","35-39 years","70 years or more",1
"2003","Fourth child or more","35-39 years","Unknown",0
"2003","Fourth child or more","40-44 years","Less than 20 years",0
"2003","Fourth child or more","40-44 years","20-24 years",0
"2003","Fourth child or more","40-44 years","25-29 years",0
"2003","Fourth child or more","40-44 years","30-34 years",3
"2003","Fourth child or more","40-44 years","35-39 years",41
"2003","Fourth child or more","40-44 years","40-44 years",122
"2003","Fourth child or more","40-44 years","45-49 years",70
"2003","Fourth child or more","40-44 years","50-59 years",22
"2003","Fourth child or more","40-44 years","60-69 years",2
"2003","Fourth child or more","40-44 years","70 years or more",0
"2003","Fourth child or more","40-44 years","Unknown",0
"2003","Fourth child or more","45-49 years","Less than 20 years",0
"2003","Fourth child or more","45-49 years","20-24 years",0
"2003","Fourth child or more","45-49 years","25-29 years",0
"2003","Fourth child or more","45-49 years","30-34 years",1
"2003","Fourth child or more","45-49 years","35-39 years",0
"2003","Fourth child or more","45-49 years","40-44 years",3
"2003","Fourth child or more","45-49 years","45-49 years",12
"2003","Fourth child or more","45-49 years","50-59 years",8
"2003","Fourth child or more","45-49 years","60-69 years",0
"2003","Fourth child or more","45-49 years","70 years or more",0
"2003","Fourth child or more","45-49 years","Unknown",0
"2003","Fourth child or more","50 years or more","Less than 20 years",0
"2003","Fourth child or more","50 years or more","20-24 years",0
"2003","Fourth child or more","50 years or more","25-29 years",0
"2003","Fourth child or more","50 years or more","30-34 years",0
"2003","Fourth child or more","50 years or more","35-39 years",0
"2003","Fourth child or more","50 years or more","40-44 years",0
"2003","Fourth child or more","50 years or more","45-49 years",0
"2003","Fourth child or more","50 years or more","50-59 years",2
"2003","Fourth child or more","50 years or more","60-69 years",0
"2003","Fourth child or more","50 years or more","70 years or more",0
"2003","Fourth child or more","50 years or more","Unknown",0
"2003","Mother not married","Less than 20 years","Less than 20 years",0
"2003","Mother not married","Less than 20 years","20-24 years",0
"2003","Mother not married","Less than 20 years","25-29 years",0
"2003","Mother not married","Less than 20 years","30-34 years",0
"2003","Mother not married","Less than 20 years","35-39 years",0
"2003","Mother not married","Less than 20 years","40-44 years",0
"2003","Mother not married","Less than 20 years","45-49 years",0
"2003","Mother not married","Less than 20 years","50-59 years",0
"2003","Mother not married","Less than 20 years","60-69 years",0
"2003","Mother not married","Less than 20 years","70 years or more",0
"2003","Mother not married","Less than 20 years","Unknown",401
"2003","Mother not married","20-24 years","Less than 20 years",0
"2003","Mother not married","20-24 years","20-24 years",0
"2003","Mother not married","20-24 years","25-29 years",0
"2003","Mother not married","20-24 years","30-34 years",0
"2003","Mother not married","20-24 years","35-39 years",0
"2003","Mother not married","20-24 years","40-44 years",0
"2003","Mother not married","20-24 years","45-49 years",0
"2003","Mother not married","20-24 years","50-59 years",0
"2003","Mother not married","20-24 years","60-69 years",0
"2003","Mother not married","20-24 years","70 years or more",0
"2003","Mother not married","20-24 years","Unknown",1531
"2003","Mother not married","25-29 years","Less than 20 years",0
"2003","Mother not married","25-29 years","20-24 years",0
"2003","Mother not married","25-29 years","25-29 years",0
"2003","Mother not married","25-29 years","30-34 years",0
"2003","Mother not married","25-29 years","35-39 years",0
"2003","Mother not married","25-29 years","40-44 years",0
"2003","Mother not married","25-29 years","45-49 years",0
"2003","Mother not married","25-29 years","50-59 years",0
"2003","Mother not married","25-29 years","60-69 years",0
"2003","Mother not married","25-29 years","70 years or more",0
"2003","Mother not married","25-29 years","Unknown",2179
"2003","Mother not married","30-34 years","Less than 20 years",0
"2003","Mother not married","30-34 years","20-24 years",0
"2003","Mother not married","30-34 years","25-29 years",0
"2003","Mother not married","30-34 years","30-34 years",0
"2003","Mother not married","30-34 years","35-39 years",0
"2003","Mother not married","30-34 years","40-44 years",0
"2003","Mother not married","30-34 years","45-49 years",0
"2003","Mother not married","30-34 years","50-59 years",0
"2003","Mother not married","30-34 years","60-69 years",0
"2003","Mother not married","30-34 years","70 years or more",0
"2003","Mother not married","30-34 years","Unknown",2604
"2003","Mother not married","35-39 years","Less than 20 years",0
"2003","Mother not married","35-39 years","20-24 years",0
"2003","Mother not married","35-39 years","25-29 years",0
"2003","Mother not married","35-39 years","30-34 years",0
"2003","Mother not married","35-39 years","35-39 years",0
"2003","Mother not married","35-39 years","40-44 years",0
"2003","Mother not married","35-39 years","45-49 years",0
"2003","Mother not married","35-39 years","50-59 years",0
"2003","Mother not married","35-39 years","60-69 years",0
"2003","Mother not married","35-39 years","70 years or more",0
"2003","Mother not married","35-39 years","Unknown",1760
"2003","Mother not married","40-44 years","Less than 20 years",0
"2003","Mother not married","40-44 years","20-24 years",0
"2003","Mother not married","40-44 years","25-29 years",0
"2003","Mother not married","40-44 years","30-34 years",0
"2003","Mother not married","40-44 years","35-39 years",0
"2003","Mother not married","40-44 years","40-44 years",0
"2003","Mother not married","40-44 years","45-49 years",0
"2003","Mother not married","40-44 years","50-59 years",0
"2003","Mother not married","40-44 years","60-69 years",0
"2003","Mother not married","40-44 years","70 years or more",0
"2003","Mother not married","40-44 years","Unknown",439
"2003","Mother not married","45-49 years","Less than 20 years",0
"2003","Mother not married","45-49 years","20-24 years",0
"2003","Mother not married","45-49 years","25-29 years",0
"2003","Mother not married","45-49 years","30-34 years",0
"2003","Mother not married","45-49 years","35-39 years",0
"2003","Mother not married","45-49 years","40-44 years",0
"2003","Mother not married","45-49 years","45-49 years",0
"2003","Mother not married","45-49 years","50-59 years",0
"2003","Mother not married","45-49 years","60-69 years",0
"2003","Mother not married","45-49 years","70 years or more",0
"2003","Mother not married","45-49 years","Unknown",10
"2003","Mother not married","50 years or more","Less than 20 years",0
"2003","Mother not married","50 years or more","20-24 years",0
"2003","Mother not married","50 years or more","25-29 years",0
"2003","Mother not married","50 years or more","30-34 years",0
"2003","Mother not married","50 years or more","35-39 years",0
"2003","Mother not married","50 years or more","40-44 years",0
"2003","Mother not married","50 years or more","45-49 years",0
"2003","Mother not married","50 years or more","50-59 years",0
"2003","Mother not married","50 years or more","60-69 years",0
"2003","Mother not married","50 years or more","70 years or more",0
"2003","Mother not married","50 years or more","Unknown",0
"2004","First child","Less than 20 years","Less than 20 years",12
"2004","First child","Less than 20 years","20-24 years",185
"2004","First child","Less than 20 years","25-29 years",102
"2004","First child","Less than 20 years","30-34 years",22
"2004","First child","Less than 20 years","35-39 years",4
"2004","First child","Less than 20 years","40-44 years",4
"2004","First child","Less than 20 years","45-49 years",3
"2004","First child","Less than 20 years","50-59 years",1
"2004","First child","Less than 20 years","60-69 years",0
"2004","First child","Less than 20 years","70 years or more",0
"2004","First child","Less than 20 years","Unknown",0
"2004","First child","20-24 years","Less than 20 years",11
"2004","First child","20-24 years","20-24 years",1383
"2004","First child","20-24 years","25-29 years",1942
"2004","First child","20-24 years","30-34 years",720
"2004","First child","20-24 years","35-39 years",223
"2004","First child","20-24 years","40-44 years",82
"2004","First child","20-24 years","45-49 years",35
"2004","First child","20-24 years","50-59 years",16
"2004","First child","20-24 years","60-69 years",3
"2004","First child","20-24 years","70 years or more",1
"2004","First child","20-24 years","Unknown",0
"2004","First child","25-29 years","Less than 20 years",2
"2004","First child","25-29 years","20-24 years",307
"2004","First child","25-29 years","25-29 years",3218
"2004","First child","25-29 years","30-34 years",3804
"2004","First child","25-29 years","35-39 years",1277
"2004","First child","25-29 years","40-44 years",350
"2004","First child","25-29 years","45-49 years",113
"2004","First child","25-29 years","50-59 years",68
"2004","First child","25-29 years","60-69 years",8
"2004","First child","25-29 years","70 years or more",2
"2004","First child","25-29 years","Unknown",0
"2004","First child","30-34 years","Less than 20 years",3
"2004","First child","30-34 years","20-24 years",56
"2004","First child","30-34 years","25-29 years",966
"2004","First child","30-34 years","30-34 years",5041
"2004","First child","30-34 years","35-39 years",3252
"2004","First child","30-34 years","40-44 years",837
"2004","First child","30-34 years","45-49 years",228
"2004","First child","30-34 years","50-59 years",116
"2004","First child","30-34 years","60-69 years",15
"2004","First child","30-34 years","70 years or more",5
"2004","First child","30-34 years","Unknown",0
"2004","First child","35-39 years","Less than 20 years",0
"2004","First child","35-39 years","20-24 years",15
"2004","First child","35-39 years","25-29 years",157
"2004","First child","35-39 years","30-34 years",931
"2004","First child","35-39 years","35-39 years",2016
"2004","First child","35-39 years","40-44 years",1061
"2004","First child","35-39 years","45-49 years",303
"2004","First child","35-39 years","50-59 years",110
"2004","First child","35-39 years","60-69 years",18
"2004","First child","35-39 years","70 years or more",1
"2004","First child","35-39 years","Unknown",0
"2004","First child","40-44 years","Less than 20 years",0
"2004","First child","40-44 years","20-24 years",4
"2004","First child","40-44 years","25-29 years",21
"2004","First child","40-44 years","30-34 years",85
"2004","First child","40-44 years","35-39 years",222
"2004","First child","40-44 years","40-44 years",269
"2004","First child","40-44 years","45-49 years",130
"2004","First child","40-44 years","50-59 years",76
"2004","First child","40-44 years","60-69 years",7
"2004","First child","40-44 years","70 years or more",2
"2004","First child","40-44 years","Unknown",0
"2004","First child","45-49 years","Less than 20 years",0
"2004","First child","45-49 years","20-24 years",0
"2004","First child","45-49 years","25-29 years",1
"2004","First child","45-49 years","30-34 years",8
"2004","First child","45-49 years","35-39 years",0
"2004","First child","45-49 years","40-44 years",7
"2004","First child","45-49 years","45-49 years",13
"2004","First child","45-49 years","50-59 years",9
"2004","First child","45-49 years","60-69 years",1
"2004","First child","45-49 years","70 years or more",0
"2004","First child","45-49 years","Unknown",0
"2004","First child","50 years or more","Less than 20 years",0
"2004","First child","50 years or more","20-24 years",0
"2004","First child","50 years or more","25-29 years",0
"2004","First child","50 years or more","30-34 years",1
"2004","First child","50 years or more","35-39 years",0
"2004","First child","50 years or more","40-44 years",0
"2004","First child","50 years or more","45-49 years",0
"2004","First child","50 years or more","50-59 years",3
"2004","First child","50 years or more","60-69 years",0
"2004","First child","50 years or more","70 years or more",0
"2004","First child","50 years or more","Unknown",0
"2004","Second child","Less than 20 years","Less than 20 years",1
"2004","Second child","Less than 20 years","20-24 years",2
"2004","Second child","Less than 20 years","25-29 years",5
"2004","Second child","Less than 20 years","30-34 years",1
"2004","Second child","Less than 20 years","35-39 years",0
"2004","Second child","Less than 20 years","40-44 years",0
"2004","Second child","Less than 20 years","45-49 years",0
"2004","Second child","Less than 20 years","50-59 years",1
"2004","Second child","Less than 20 years","60-69 years",0
"2004","Second child","Less than 20 years","70 years or more",0
"2004","Second child","Less than 20 years","Unknown",0
"2004","Second child","20-24 years","Less than 20 years",1
"2004","Second child","20-24 years","20-24 years",279
"2004","Second child","20-24 years","25-29 years",743
"2004","Second child","20-24 years","30-34 years",314
"2004","Second child","20-24 years","35-39 years",90
"2004","Second child","20-24 years","40-44 years",19
"2004","Second child","20-24 years","45-49 years",6
"2004","Second child","20-24 years","50-59 years",3
"2004","Second child","20-24 years","60-69 years",0
"2004","Second child","20-24 years","70 years or more",0
"2004","Second child","20-24 years","Unknown",0
"2004","Second child","25-29 years","Less than 20 years",0
"2004","Second child","25-29 years","20-24 years",85
"2004","Second child","25-29 years","25-29 years",1884
"2004","Second child","25-29 years","30-34 years",2671
"2004","Second child","25-29 years","35-39 years",1012
"2004","Second child","25-29 years","40-44 years",249
"2004","Second child","25-29 years","45-49 years",70
"2004","Second child","25-29 years","50-59 years",27
"2004","Second child","25-29 years","60-69 years",0
"2004","Second child","25-29 years","70 years or more",0
"2004","Second child","25-29 years","Unknown",0
"2004","Second child","30-34 years","Less than 20 years",0
"2004","Second child","30-34 years","20-24 years",12
"2004","Second child","30-34 years","25-29 years",458
"2004","Second child","30-34 years","30-34 years",4382
"2004","Second child","30-34 years","35-39 years",3742
"2004","Second child","30-34 years","40-44 years",913
"2004","Second child","30-34 years","45-49 years",194
"2004","Second child","30-34 years","50-59 years",83
"2004","Second child","30-34 years","60-69 years",6
"2004","Second child","30-34 years","70 years or more",0
"2004","Second child","30-34 years","Unknown",0
"2004","Second child","35-39 years","Less than 20 years",0
"2004","Second child","35-39 years","20-24 years",2
"2004","Second child","35-39 years","25-29 years",82
"2004","Second child","35-39 years","30-34 years",873
"2004","Second child","35-39 years","35-39 years",2870
"2004","Second child","35-39 years","40-44 years",1414
"2004","Second child","35-39 years","45-49 years",288
"2004","Second child","35-39 years","50-59 years",106
"2004","Second child","35-39 years","60-69 years",8
"2004","Second child","35-39 years","70 years or more",1
"2004","Second child","35-39 years","Unknown",0
"2004","Second child","40-44 years","Less than 20 years",0
"2004","Second child","40-44 years","20-24 years",0
"2004","Second child","40-44 years","25-29 years",13
"2004","Second child","40-44 years","30-34 years",65
"2004","Second child","40-44 years","35-39 years",258
"2004","Second child","40-44 years","40-44 years",378
"2004","Second child","40-44 years","45-49 years",138
"2004","Second child","40-44 years","50-59 years",55
"2004","Second child","40-44 years","60-69 years",4
"2004","Second child","40-44 years","70 years or more",0
"2004","Second child","40-44 years","Unknown",0
"2004","Second child","45-49 years","Less than 20 years",0
"2004","Second child","45-49 years","20-24 years",0
"2004","Second child","45-49 years","25-29 years",0
"2004","Second child","45-49 years","30-34 years",2
"2004","Second child","45-49 years","35-39 years",3
"2004","Second child","45-49 years","40-44 years",4
"2004","Second child","45-49 years","45-49 years",8
"2004","Second child","45-49 years","50-59 years",1
"2004","Second child","45-49 years","60-69 years",1
"2004","Second child","45-49 years","70 years or more",0
"2004","Second child","45-49 years","Unknown",0
"2004","Second child","50 years or more","Less than 20 years",0
"2004","Second child","50 years or more","20-24 years",0
"2004","Second child","50 years or more","25-29 years",0
"2004","Second child","50 years or more","30-34 years",1
"2004","Second child","50 years or more","35-39 years",0
"2004","Second child","50 years or more","40-44 years",0
"2004","Second child","50 years or more","45-49 years",0
"2004","Second child","50 years or more","50-59 years",1
"2004","Second child","50 years or more","60-69 years",0
"2004","Second child","50 years or more","70 years or more",0
"2004","Second child","50 years or more","Unknown",0
"2004","Third child","Less than 20 years","Less than 20 years",0
"2004","Third child","Less than 20 years","20-24 years",0
"2004","Third child","Less than 20 years","25-29 years",0
"2004","Third child","Less than 20 years","30-34 years",0
"2004","Third child","Less than 20 years","35-39 years",0
"2004","Third child","Less than 20 years","40-44 years",0
"2004","Third child","Less than 20 years","45-49 years",0
"2004","Third child","Less than 20 years","50-59 years",0
"2004","Third child","Less than 20 years","60-69 years",0
"2004","Third child","Less than 20 years","70 years or more",0
"2004","Third child","Less than 20 years","Unknown",0
"2004","Third child","20-24 years","Less than 20 years",0
"2004","Third child","20-24 years","20-24 years",14
"2004","Third child","20-24 years","25-29 years",70
"2004","Third child","20-24 years","30-34 years",31
"2004","Third child","20-24 years","35-39 years",17
"2004","Third child","20-24 years","40-44 years",5
"2004","Third child","20-24 years","45-49 years",1
"2004","Third child","20-24 years","50-59 years",0
"2004","Third child","20-24 years","60-69 years",0
"2004","Third child","20-24 years","70 years or more",0
"2004","Third child","20-24 years","Unknown",0
"2004","Third child","25-29 years","Less than 20 years",0
"2004","Third child","25-29 years","20-24 years",5
"2004","Third child","25-29 years","25-29 years",384
"2004","Third child","25-29 years","30-34 years",620
"2004","Third child","25-29 years","35-39 years",265
"2004","Third child","25-29 years","40-44 years",61
"2004","Third child","25-29 years","45-49 years",11
"2004","Third child","25-29 years","50-59 years",3
"2004","Third child","25-29 years","60-69 years",0
"2004","Third child","25-29 years","70 years or more",1
"2004","Third child","25-29 years","Unknown",0
"2004","Third child","30-34 years","Less than 20 years",0
"2004","Third child","30-34 years","20-24 years",2
"2004","Third child","30-34 years","25-29 years",86
"2004","Third child","30-34 years","30-34 years",1231
"2004","Third child","30-34 years","35-39 years",1385
"2004","Third child","30-34 years","40-44 years",355
"2004","Third child","30-34 years","45-49 years",79
"2004","Third child","30-34 years","50-59 years",15
"2004","Third child","30-34 years","60-69 years",2
"2004","Third child","30-34 years","70 years or more",0
"2004","Third child","30-34 years","Unknown",0
"2004","Third child","35-39 years","Less than 20 years",0
"2004","Third child","35-39 years","20-24 years",0
"2004","Third child","35-39 years","25-29 years",8
"2004","Third child","35-39 years","30-34 years",245
"2004","Third child","35-39 years","35-39 years",1252
"2004","Third child","35-39 years","40-44 years",683
"2004","Third child","35-39 years","45-49 years",132
"2004","Third child","35-39 years","50-59 years",33
"2004","Third child","35-39 years","60-69 years",3
"2004","Third child","35-39 years","70 years or more",1
"2004","Third child","35-39 years","Unknown",0
"2004","Third child","40-44 years","Less than 20 years",0
"2004","Third child","40-44 years","20-24 years",0
"2004","Third child","40-44 years","25-29 years",1
"2004","Third child","40-44 years","30-34 years",19
"2004","Third child","40-44 years","35-39 years",92
"2004","Third child","40-44 years","40-44 years",200
"2004","Third child","40-44 years","45-49 years",85
"2004","Third child","40-44 years","50-59 years",14
"2004","Third child","40-44 years","60-69 years",4
