"Tipo di popolazione","Anno","Età","Sesso","Stato civile","Popolazione residente permanente e non permanente"
"Popolazione residente permanente","2013","49 anni","Uomo","Senza indicazione",5
"Popolazione residente permanente","2013","49 anni","Donna","Celibe/nubile",9413
"Popolazione residente permanente","2013","49 anni","Donna","Coniugato, in unione domestica registrata",44354
"Popolazione residente permanente","2013","49 anni","Donna","Vedovo, unione domestica sciolta per decesso",1390
"Popolazione residente permanente","2013","49 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12200
"Popolazione residente permanente","2013","49 anni","Donna","Senza indicazione",4
"Popolazione residente permanente","2013","50 anni","Uomo","Celibe/nubile",11704
"Popolazione residente permanente","2013","50 anni","Uomo","Coniugato, in unione domestica registrata",45365
"Popolazione residente permanente","2013","50 anni","Uomo","Vedovo, unione domestica sciolta per decesso",329
"Popolazione residente permanente","2013","50 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10020
"Popolazione residente permanente","2013","50 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","50 anni","Donna","Celibe/nubile",8983
"Popolazione residente permanente","2013","50 anni","Donna","Coniugato, in unione domestica registrata",42926
"Popolazione residente permanente","2013","50 anni","Donna","Vedovo, unione domestica sciolta per decesso",1462
"Popolazione residente permanente","2013","50 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12263
"Popolazione residente permanente","2013","50 anni","Donna","Senza indicazione",3
"Popolazione residente permanente","2013","51 anni","Uomo","Celibe/nubile",10786
"Popolazione residente permanente","2013","51 anni","Uomo","Coniugato, in unione domestica registrata",44194
"Popolazione residente permanente","2013","51 anni","Uomo","Vedovo, unione domestica sciolta per decesso",362
"Popolazione residente permanente","2013","51 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9522
"Popolazione residente permanente","2013","51 anni","Uomo","Senza indicazione",2
"Popolazione residente permanente","2013","51 anni","Donna","Celibe/nubile",8041
"Popolazione residente permanente","2013","51 anni","Donna","Coniugato, in unione domestica registrata",41643
"Popolazione residente permanente","2013","51 anni","Donna","Vedovo, unione domestica sciolta per decesso",1637
"Popolazione residente permanente","2013","51 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11775
"Popolazione residente permanente","2013","51 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","52 anni","Uomo","Celibe/nubile",9427
"Popolazione residente permanente","2013","52 anni","Uomo","Coniugato, in unione domestica registrata",43105
"Popolazione residente permanente","2013","52 anni","Uomo","Vedovo, unione domestica sciolta per decesso",443
"Popolazione residente permanente","2013","52 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9412
"Popolazione residente permanente","2013","52 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2013","52 anni","Donna","Celibe/nubile",7558
"Popolazione residente permanente","2013","52 anni","Donna","Coniugato, in unione domestica registrata",40222
"Popolazione residente permanente","2013","52 anni","Donna","Vedovo, unione domestica sciolta per decesso",1776
"Popolazione residente permanente","2013","52 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11711
"Popolazione residente permanente","2013","52 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","53 anni","Uomo","Celibe/nubile",8733
"Popolazione residente permanente","2013","53 anni","Uomo","Coniugato, in unione domestica registrata",42259
"Popolazione residente permanente","2013","53 anni","Uomo","Vedovo, unione domestica sciolta per decesso",445
"Popolazione residente permanente","2013","53 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9290
"Popolazione residente permanente","2013","53 anni","Uomo","Senza indicazione",2
"Popolazione residente permanente","2013","53 anni","Donna","Celibe/nubile",6967
"Popolazione residente permanente","2013","53 anni","Donna","Coniugato, in unione domestica registrata",39401
"Popolazione residente permanente","2013","53 anni","Donna","Vedovo, unione domestica sciolta per decesso",1928
"Popolazione residente permanente","2013","53 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11267
"Popolazione residente permanente","2013","53 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2013","54 anni","Uomo","Celibe/nubile",8058
"Popolazione residente permanente","2013","54 anni","Uomo","Coniugato, in unione domestica registrata",40883
"Popolazione residente permanente","2013","54 anni","Uomo","Vedovo, unione domestica sciolta per decesso",510
"Popolazione residente permanente","2013","54 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9254
"Popolazione residente permanente","2013","54 anni","Uomo","Senza indicazione",2
"Popolazione residente permanente","2013","54 anni","Donna","Celibe/nubile",6438
"Popolazione residente permanente","2013","54 anni","Donna","Coniugato, in unione domestica registrata",38144
"Popolazione residente permanente","2013","54 anni","Donna","Vedovo, unione domestica sciolta per decesso",2059
"Popolazione residente permanente","2013","54 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11159
"Popolazione residente permanente","2013","54 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2013","55 anni","Uomo","Celibe/nubile",7447
"Popolazione residente permanente","2013","55 anni","Uomo","Coniugato, in unione domestica registrata",39751
"Popolazione residente permanente","2013","55 anni","Uomo","Vedovo, unione domestica sciolta per decesso",521
"Popolazione residente permanente","2013","55 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9101
"Popolazione residente permanente","2013","55 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","55 anni","Donna","Celibe/nubile",6094
"Popolazione residente permanente","2013","55 anni","Donna","Coniugato, in unione domestica registrata",36448
"Popolazione residente permanente","2013","55 anni","Donna","Vedovo, unione domestica sciolta per decesso",2137
"Popolazione residente permanente","2013","55 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10592
"Popolazione residente permanente","2013","55 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","56 anni","Uomo","Celibe/nubile",6918
"Popolazione residente permanente","2013","56 anni","Uomo","Coniugato, in unione domestica registrata",38959
"Popolazione residente permanente","2013","56 anni","Uomo","Vedovo, unione domestica sciolta per decesso",575
"Popolazione residente permanente","2013","56 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8813
"Popolazione residente permanente","2013","56 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2013","56 anni","Donna","Celibe/nubile",5871
"Popolazione residente permanente","2013","56 anni","Donna","Coniugato, in unione domestica registrata",35347
"Popolazione residente permanente","2013","56 anni","Donna","Vedovo, unione domestica sciolta per decesso",2403
"Popolazione residente permanente","2013","56 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10490
"Popolazione residente permanente","2013","56 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","57 anni","Uomo","Celibe/nubile",6324
"Popolazione residente permanente","2013","57 anni","Uomo","Coniugato, in unione domestica registrata",38265
"Popolazione residente permanente","2013","57 anni","Uomo","Vedovo, unione domestica sciolta per decesso",626
"Popolazione residente permanente","2013","57 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8581
"Popolazione residente permanente","2013","57 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","57 anni","Donna","Celibe/nubile",5449
"Popolazione residente permanente","2013","57 anni","Donna","Coniugato, in unione domestica registrata",34173
"Popolazione residente permanente","2013","57 anni","Donna","Vedovo, unione domestica sciolta per decesso",2586
"Popolazione residente permanente","2013","57 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9883
"Popolazione residente permanente","2013","57 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","58 anni","Uomo","Celibe/nubile",5665
"Popolazione residente permanente","2013","58 anni","Uomo","Coniugato, in unione domestica registrata",36918
"Popolazione residente permanente","2013","58 anni","Uomo","Vedovo, unione domestica sciolta per decesso",701
"Popolazione residente permanente","2013","58 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7859
"Popolazione residente permanente","2013","58 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","58 anni","Donna","Celibe/nubile",5076
"Popolazione residente permanente","2013","58 anni","Donna","Coniugato, in unione domestica registrata",32840
"Popolazione residente permanente","2013","58 anni","Donna","Vedovo, unione domestica sciolta per decesso",2835
"Popolazione residente permanente","2013","58 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9597
"Popolazione residente permanente","2013","58 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","59 anni","Uomo","Celibe/nubile",5340
"Popolazione residente permanente","2013","59 anni","Uomo","Coniugato, in unione domestica registrata",35546
"Popolazione residente permanente","2013","59 anni","Uomo","Vedovo, unione domestica sciolta per decesso",745
"Popolazione residente permanente","2013","59 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7468
"Popolazione residente permanente","2013","59 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2013","59 anni","Donna","Celibe/nubile",4777
"Popolazione residente permanente","2013","59 anni","Donna","Coniugato, in unione domestica registrata",32065
"Popolazione residente permanente","2013","59 anni","Donna","Vedovo, unione domestica sciolta per decesso",3002
"Popolazione residente permanente","2013","59 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9358
"Popolazione residente permanente","2013","59 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","60 anni","Uomo","Celibe/nubile",5003
"Popolazione residente permanente","2013","60 anni","Uomo","Coniugato, in unione domestica registrata",33876
"Popolazione residente permanente","2013","60 anni","Uomo","Vedovo, unione domestica sciolta per decesso",823
"Popolazione residente permanente","2013","60 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7184
"Popolazione residente permanente","2013","60 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","60 anni","Donna","Celibe/nubile",4335
"Popolazione residente permanente","2013","60 anni","Donna","Coniugato, in unione domestica registrata",31112
"Popolazione residente permanente","2013","60 anni","Donna","Vedovo, unione domestica sciolta per decesso",3344
"Popolazione residente permanente","2013","60 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9010
"Popolazione residente permanente","2013","60 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","61 anni","Uomo","Celibe/nubile",4789
"Popolazione residente permanente","2013","61 anni","Uomo","Coniugato, in unione domestica registrata",33634
"Popolazione residente permanente","2013","61 anni","Uomo","Vedovo, unione domestica sciolta per decesso",847
"Popolazione residente permanente","2013","61 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6973
"Popolazione residente permanente","2013","61 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","61 anni","Donna","Celibe/nubile",4318
"Popolazione residente permanente","2013","61 anni","Donna","Coniugato, in unione domestica registrata",30645
"Popolazione residente permanente","2013","61 anni","Donna","Vedovo, unione domestica sciolta per decesso",3635
"Popolazione residente permanente","2013","61 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8758
"Popolazione residente permanente","2013","61 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","62 anni","Uomo","Celibe/nubile",4348
"Popolazione residente permanente","2013","62 anni","Uomo","Coniugato, in unione domestica registrata",32411
"Popolazione residente permanente","2013","62 anni","Uomo","Vedovo, unione domestica sciolta per decesso",929
"Popolazione residente permanente","2013","62 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6564
"Popolazione residente permanente","2013","62 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","62 anni","Donna","Celibe/nubile",4012
"Popolazione residente permanente","2013","62 anni","Donna","Coniugato, in unione domestica registrata",29091
"Popolazione residente permanente","2013","62 anni","Donna","Vedovo, unione domestica sciolta per decesso",3864
"Popolazione residente permanente","2013","62 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8364
"Popolazione residente permanente","2013","62 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","63 anni","Uomo","Celibe/nubile",4152
"Popolazione residente permanente","2013","63 anni","Uomo","Coniugato, in unione domestica registrata",33303
"Popolazione residente permanente","2013","63 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1036
"Popolazione residente permanente","2013","63 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6665
"Popolazione residente permanente","2013","63 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","63 anni","Donna","Celibe/nubile",3798
"Popolazione residente permanente","2013","63 anni","Donna","Coniugato, in unione domestica registrata",29842
"Popolazione residente permanente","2013","63 anni","Donna","Vedovo, unione domestica sciolta per decesso",4277
"Popolazione residente permanente","2013","63 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8453
"Popolazione residente permanente","2013","63 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","64 anni","Uomo","Celibe/nubile",3901
"Popolazione residente permanente","2013","64 anni","Uomo","Coniugato, in unione domestica registrata",32404
"Popolazione residente permanente","2013","64 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1116
"Popolazione residente permanente","2013","64 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6292
"Popolazione residente permanente","2013","64 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","64 anni","Donna","Celibe/nubile",3583
"Popolazione residente permanente","2013","64 anni","Donna","Coniugato, in unione domestica registrata",29247
"Popolazione residente permanente","2013","64 anni","Donna","Vedovo, unione domestica sciolta per decesso",4642
"Popolazione residente permanente","2013","64 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8134
"Popolazione residente permanente","2013","64 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","65 anni","Uomo","Celibe/nubile",3734
"Popolazione residente permanente","2013","65 anni","Uomo","Coniugato, in unione domestica registrata",32430
"Popolazione residente permanente","2013","65 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1351
"Popolazione residente permanente","2013","65 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6056
"Popolazione residente permanente","2013","65 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2013","65 anni","Donna","Celibe/nubile",3729
"Popolazione residente permanente","2013","65 anni","Donna","Coniugato, in unione domestica registrata",29061
"Popolazione residente permanente","2013","65 anni","Donna","Vedovo, unione domestica sciolta per decesso",5226
"Popolazione residente permanente","2013","65 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7972
"Popolazione residente permanente","2013","65 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2013","66 anni","Uomo","Celibe/nubile",3490
"Popolazione residente permanente","2013","66 anni","Uomo","Coniugato, in unione domestica registrata",31849
"Popolazione residente permanente","2013","66 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1387
"Popolazione residente permanente","2013","66 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5837
"Popolazione residente permanente","2013","66 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","66 anni","Donna","Celibe/nubile",3488
"Popolazione residente permanente","2013","66 anni","Donna","Coniugato, in unione domestica registrata",28284
"Popolazione residente permanente","2013","66 anni","Donna","Vedovo, unione domestica sciolta per decesso",5622
"Popolazione residente permanente","2013","66 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7612
"Popolazione residente permanente","2013","66 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","67 anni","Uomo","Celibe/nubile",3349
"Popolazione residente permanente","2013","67 anni","Uomo","Coniugato, in unione domestica registrata",31544
"Popolazione residente permanente","2013","67 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1631
"Popolazione residente permanente","2013","67 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5494
"Popolazione residente permanente","2013","67 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","67 anni","Donna","Celibe/nubile",3381
"Popolazione residente permanente","2013","67 anni","Donna","Coniugato, in unione domestica registrata",28004
"Popolazione residente permanente","2013","67 anni","Donna","Vedovo, unione domestica sciolta per decesso",6140
"Popolazione residente permanente","2013","67 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7313
"Popolazione residente permanente","2013","67 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","68 anni","Uomo","Celibe/nubile",3079
"Popolazione residente permanente","2013","68 anni","Uomo","Coniugato, in unione domestica registrata",30502
"Popolazione residente permanente","2013","68 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1592
"Popolazione residente permanente","2013","68 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4971
"Popolazione residente permanente","2013","68 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2013","68 anni","Donna","Celibe/nubile",3148
"Popolazione residente permanente","2013","68 anni","Donna","Coniugato, in unione domestica registrata",26048
"Popolazione residente permanente","2013","68 anni","Donna","Vedovo, unione domestica sciolta per decesso",6448
"Popolazione residente permanente","2013","68 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6747
"Popolazione residente permanente","2013","68 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2013","69 anni","Uomo","Celibe/nubile",2710
"Popolazione residente permanente","2013","69 anni","Uomo","Coniugato, in unione domestica registrata",29546
"Popolazione residente permanente","2013","69 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1845
"Popolazione residente permanente","2013","69 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4759
"Popolazione residente permanente","2013","69 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","69 anni","Donna","Celibe/nubile",3066
"Popolazione residente permanente","2013","69 anni","Donna","Coniugato, in unione domestica registrata",25466
"Popolazione residente permanente","2013","69 anni","Donna","Vedovo, unione domestica sciolta per decesso",6901
"Popolazione residente permanente","2013","69 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6610
"Popolazione residente permanente","2013","69 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","70 anni","Uomo","Celibe/nubile",2567
"Popolazione residente permanente","2013","70 anni","Uomo","Coniugato, in unione domestica registrata",28207
"Popolazione residente permanente","2013","70 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1837
"Popolazione residente permanente","2013","70 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4228
"Popolazione residente permanente","2013","70 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","70 anni","Donna","Celibe/nubile",3053
"Popolazione residente permanente","2013","70 anni","Donna","Coniugato, in unione domestica registrata",24046
"Popolazione residente permanente","2013","70 anni","Donna","Vedovo, unione domestica sciolta per decesso",7320
"Popolazione residente permanente","2013","70 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6192
"Popolazione residente permanente","2013","70 anni","Donna","Senza indicazione",2
"Popolazione residente permanente","2013","71 anni","Uomo","Celibe/nubile",2326
"Popolazione residente permanente","2013","71 anni","Uomo","Coniugato, in unione domestica registrata",26759
"Popolazione residente permanente","2013","71 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1982
"Popolazione residente permanente","2013","71 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3832
"Popolazione residente permanente","2013","71 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","71 anni","Donna","Celibe/nubile",2848
"Popolazione residente permanente","2013","71 anni","Donna","Coniugato, in unione domestica registrata",22267
"Popolazione residente permanente","2013","71 anni","Donna","Vedovo, unione domestica sciolta per decesso",7768
"Popolazione residente permanente","2013","71 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5617
"Popolazione residente permanente","2013","71 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","72 anni","Uomo","Celibe/nubile",1979
"Popolazione residente permanente","2013","72 anni","Uomo","Coniugato, in unione domestica registrata",24456
"Popolazione residente permanente","2013","72 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1996
"Popolazione residente permanente","2013","72 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3329
"Popolazione residente permanente","2013","72 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","72 anni","Donna","Celibe/nubile",2765
"Popolazione residente permanente","2013","72 anni","Donna","Coniugato, in unione domestica registrata",20458
"Popolazione residente permanente","2013","72 anni","Donna","Vedovo, unione domestica sciolta per decesso",8187
"Popolazione residente permanente","2013","72 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4970
"Popolazione residente permanente","2013","72 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","73 anni","Uomo","Celibe/nubile",1695
"Popolazione residente permanente","2013","73 anni","Uomo","Coniugato, in unione domestica registrata",21909
"Popolazione residente permanente","2013","73 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1914
"Popolazione residente permanente","2013","73 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2889
"Popolazione residente permanente","2013","73 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","73 anni","Donna","Celibe/nubile",2476
"Popolazione residente permanente","2013","73 anni","Donna","Coniugato, in unione domestica registrata",18396
"Popolazione residente permanente","2013","73 anni","Donna","Vedovo, unione domestica sciolta per decesso",8421
"Popolazione residente permanente","2013","73 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4435
"Popolazione residente permanente","2013","73 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","74 anni","Uomo","Celibe/nubile",1599
"Popolazione residente permanente","2013","74 anni","Uomo","Coniugato, in unione domestica registrata",21137
"Popolazione residente permanente","2013","74 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2062
"Popolazione residente permanente","2013","74 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2476
"Popolazione residente permanente","2013","74 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","74 anni","Donna","Celibe/nubile",2389
"Popolazione residente permanente","2013","74 anni","Donna","Coniugato, in unione domestica registrata",17544
"Popolazione residente permanente","2013","74 anni","Donna","Vedovo, unione domestica sciolta per decesso",8826
"Popolazione residente permanente","2013","74 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3913
"Popolazione residente permanente","2013","74 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","75 anni","Uomo","Celibe/nubile",1484
"Popolazione residente permanente","2013","75 anni","Uomo","Coniugato, in unione domestica registrata",19903
"Popolazione residente permanente","2013","75 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2189
"Popolazione residente permanente","2013","75 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2272
"Popolazione residente permanente","2013","75 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","75 anni","Donna","Celibe/nubile",2271
"Popolazione residente permanente","2013","75 anni","Donna","Coniugato, in unione domestica registrata",16114
"Popolazione residente permanente","2013","75 anni","Donna","Vedovo, unione domestica sciolta per decesso",9420
"Popolazione residente permanente","2013","75 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3679
"Popolazione residente permanente","2013","75 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","76 anni","Uomo","Celibe/nubile",1389
"Popolazione residente permanente","2013","76 anni","Uomo","Coniugato, in unione domestica registrata",18565
"Popolazione residente permanente","2013","76 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2279
"Popolazione residente permanente","2013","76 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1994
"Popolazione residente permanente","2013","76 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","76 anni","Donna","Celibe/nubile",2273
"Popolazione residente permanente","2013","76 anni","Donna","Coniugato, in unione domestica registrata",14763
"Popolazione residente permanente","2013","76 anni","Donna","Vedovo, unione domestica sciolta per decesso",9673
"Popolazione residente permanente","2013","76 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3290
"Popolazione residente permanente","2013","76 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","77 anni","Uomo","Celibe/nubile",1370
"Popolazione residente permanente","2013","77 anni","Uomo","Coniugato, in unione domestica registrata",17759
"Popolazione residente permanente","2013","77 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2402
"Popolazione residente permanente","2013","77 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1831
"Popolazione residente permanente","2013","77 anni","Uomo","Senza indicazione",2
"Popolazione residente permanente","2013","77 anni","Donna","Celibe/nubile",2114
"Popolazione residente permanente","2013","77 anni","Donna","Coniugato, in unione domestica registrata",14078
"Popolazione residente permanente","2013","77 anni","Donna","Vedovo, unione domestica sciolta per decesso",10660
"Popolazione residente permanente","2013","77 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3031
"Popolazione residente permanente","2013","77 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","78 anni","Uomo","Celibe/nubile",1229
"Popolazione residente permanente","2013","78 anni","Uomo","Coniugato, in unione domestica registrata",16931
"Popolazione residente permanente","2013","78 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2572
"Popolazione residente permanente","2013","78 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1703
"Popolazione residente permanente","2013","78 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","78 anni","Donna","Celibe/nubile",2216
"Popolazione residente permanente","2013","78 anni","Donna","Coniugato, in unione domestica registrata",12882
"Popolazione residente permanente","2013","78 anni","Donna","Vedovo, unione domestica sciolta per decesso",11213
"Popolazione residente permanente","2013","78 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2829
"Popolazione residente permanente","2013","78 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","79 anni","Uomo","Celibe/nubile",1103
"Popolazione residente permanente","2013","79 anni","Uomo","Coniugato, in unione domestica registrata",15789
"Popolazione residente permanente","2013","79 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2655
"Popolazione residente permanente","2013","79 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1470
"Popolazione residente permanente","2013","79 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","79 anni","Donna","Celibe/nubile",2165
"Popolazione residente permanente","2013","79 anni","Donna","Coniugato, in unione domestica registrata",11543
"Popolazione residente permanente","2013","79 anni","Donna","Vedovo, unione domestica sciolta per decesso",11863
"Popolazione residente permanente","2013","79 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2560
"Popolazione residente permanente","2013","79 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","80 anni","Uomo","Celibe/nubile",1030
"Popolazione residente permanente","2013","80 anni","Uomo","Coniugato, in unione domestica registrata",14139
"Popolazione residente permanente","2013","80 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2658
"Popolazione residente permanente","2013","80 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1230
"Popolazione residente permanente","2013","80 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2013","80 anni","Donna","Celibe/nubile",2076
"Popolazione residente permanente","2013","80 anni","Donna","Coniugato, in unione domestica registrata",10223
"Popolazione residente permanente","2013","80 anni","Donna","Vedovo, unione domestica sciolta per decesso",12261
"Popolazione residente permanente","2013","80 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2330
"Popolazione residente permanente","2013","80 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2013","81 anni","Uomo","Celibe/nubile",875
"Popolazione residente permanente","2013","81 anni","Uomo","Coniugato, in unione domestica registrata",13293
"Popolazione residente permanente","2013","81 anni","Uomo","Vedovo, unione domestica sciolta per decesso",2739
"Popolazione residente permanente","2013","81 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",1063
"Popolazione residente permanente","2013","81 anni","Uomo","Senza indicazione",0
